



time,file,func,line,serious_error,error,warning,msg,format_exception,phase,gnss_time,date,lat,lon,alt,alt_base_press,goal_lat,goal_lon,temp,press,camera_area,camera_order,camera_center_x,camera_center_y,camera_frame_size_x,camera_frame_size_y,motor_l,motor_r,goal_relative_x,goal_relative_y,angle_to_goal,distance_to_goal,accel_all_x,accel_all_y,accel_all_z,accel_line_x,accel_line_y,accel_line_z,mag_x,mag_y,mag_z,gyro_x,gyro_y,gyro_z,grav_x,grav_y,grav_z,euler_x,euler_y,euler_z,nmea
"585.425665105","/home/SC-23/program/FM/FM_2/bme280ver2.py","altitude","153",,,,,,,,,,,"1.3560615736091979",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"585.427379136","/home/SC-23/program/FM/FM_2/bno055.py","getVector","326",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.0","0.0","-0.0",,,,,,,,,,,,,
"585.432966409","/home/SC-23/program/FM/FM_2/bme280ver2.py","altitude","153",,,,,,,,,,,"1.3560615736091979",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"585.434681644","/home/SC-23/program/FM/FM_2/bno055.py","getVector","326",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.0","0.0","-0.0",,,,,,,,,,,,,
"585.438850562","/home/SC-23/program/FM/FM_2/bme280ver2.py","altitude","153",,,,,,,,,,,"1.3560615736091979",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"585.440211583","/home/SC-23/program/FM/FM_2/bno055.py","getVector","326",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.0","0.0","-0.0",,,,,,,,,,,,,
"585.444835069","/home/SC-23/program/FM/FM_2/bme280ver2.py","altitude","153",,,,,,,,,,,"1.3560615736091979",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"585.446507321","/home/SC-23/program/FM/FM_2/bno055.py","getVector","326",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.0","0.0","-0.0",,,,,,,,,,,,,
"585.451464909","/home/SC-23/program/FM/FM_2/bme280ver2.py","altitude","153",,,,,,,,,,,"1.3560615736091979",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"585.452847134","/home/SC-23/program/FM/FM_2/bno055.py","getVector","326",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.0","0.0","-0.0",,,,,,,,,,,,,
"585.458198086","/home/SC-23/program/FM/FM_2/bme280ver2.py","altitude","153",,,,,,,,,,,"1.3560615736091979",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"585.462074439","/home/SC-23/program/FM/FM_2/bno055.py","getVector","326",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.0","0.0","-0.0",,,,,,,,,,,,,
"585.468413586","/home/SC-23/program/FM/FM_2/bme280ver2.py","altitude","153",,,,,,,,,,,"1.3560615736091979",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"585.469835794","/home/SC-23/program/FM/FM_2/bno055.py","getVector","326",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.0","0.0","-0.0",,,,,,,,,,,,,
"585.475434808","/home/SC-23/program/FM/FM_2/bme280ver2.py","altitude","153",,,,,,,,,,,"1.3560615736091979",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"585.477265139","/home/SC-23/program/FM/FM_2/bno055.py","getVector","326",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.0","0.0","-0.0",,,,,,,,,,,,,
"585.483632842","/home/SC-23/program/FM/FM_2/bme280ver2.py","altitude","153",,,,,,,,,,,"1.3560615736091979",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"585.485169109","/home/SC-23/program/FM/FM_2/bno055.py","getVector","326",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.0","0.0","-0.0",,,,,,,,,,,,,
"585.490496541","/home/SC-23/program/FM/FM_2/bme280ver2.py","altitude","153",,,,,,,,,,,"1.3560615736091979",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"585.492443449","/home/SC-23/program/FM/FM_2/bno055.py","getVector","326",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.0","0.0","-0.0",,,,,,,,,,,,,
